ORIGIN,market_coupons,market_distance,market_fare,PASSENGERS,Origin_population
BZN,1.671699079,1344.850989,250.6108082,23448,54103
CAE,1.842927106,1062.768969,261.0472021,14089,673209
CAK,1.632074414,950.1507341,209.2906108,8923,676549
CHA,1.795639026,957.4614038,229.6598854,12566,492354
CHO,1.790782569,1088.461442,237.3565343,8766,182525
CHS,1.473890457,974.3209541,189.4194266,55631,566543
CID,1.620790816,1086.930612,218.7180912,15680,212870
CLE,1.335558332,1059.661497,176.2925304,114457,2130938
CLL,2.018435754,1089.018994,264.583648,1790,161371
CLT,1.205538635,891.1097857,218.5818595,177300,1135592
CMH,1.390208261,1024.685259,200.348672,92384,1509212
CMI,1.903200625,1089.981265,266.5840047,2562,205185
COD,2.008951407,1348.163043,302.2472123,1564,89513
COS,1.638003819,1123.544226,221.7661559,19898,416250
COU,1.733333333,980.1366013,245.2292353,3060,166234
CPR,1.994444444,1112.598016,312.2331587,2520,70259
CRP,1.824657169,1015.41619,268.3814099,7511,379471
CRW,1.825173477,1063.576137,274.1799807,5188,307023
CSG,2.06539924,996.2882129,311.0937947,1315,281683
CVG,1.284741698,981.7657501,173.3973333,98412,1948312
CWA,2.045691151,1127.442452,275.0971891,3458,116766
DAB,1.923705363,1072.723811,219.5377375,7589,600756
DAL,1.137566383,916.3323424,169.3162648,129174,10709246
DAY,1.672544218,1011.343184,245.7096256,18375,861142
DCA,1.240329639,990.8428304,216.74572,238564,10172752
DEN,1.110330836,1069.155425,162.585179,541689,2888227
DFW,1.125154586,1067.848976,220.2098279,357406,11379964
DHN,2.056367432,1101.376479,342.3183855,1437,123924
DLH,2.024003959,1128.911408,269.7728829,4041,275188
DRO,1.769918383,1081.993393,301.5940284,5146,51464
DSM,1.606731314,1088.011492,227.6336591,31762,423477
DTW,1.180999874,1047.798005,193.0614056,237630,8837982
EAT,1.963560335,1168.794504,229.8489904,1674,80800
ECP,1.661146347,928.8513037,192.5379857,17028,168852
EGE,1.751330798,1198.654753,290.7342053,2630,2888227
ELM,1.783011163,1263.723387,223.273602,3673,95302
ELP,1.560748346,1087.192706,224.0986544,41104,611299
ERI,1.927070947,1156.669837,244.7879191,2523,279804
EUG,1.691042048,1341.487529,213.6749308,15316,284093
EVV,1.757228587,1037.872704,246.9392362,5499,328473
EWN,2.023599859,1112.991899,250.6167066,2839,119791
EWR,1.144069407,1398.242766,226.5427564,326190,17072218
EYW,1.855214582,1205.278957,262.0430388,8668,78880
FAI,1.753358102,2041.763432,268.6381023,13996,82769
FAR,1.749127907,1197.338469,255.1115378,10320,157539
FAT,1.625168607,1310.436629,242.7896103,20017,844194
FAY,2.068081003,1131.060945,280.316839,5185,348072
FCA,1.674071596,1430.469655,259.1857484,14945,60818
FLG,1.96,1320.286452,250.4566419,3100,120390
FLL,1.191458074,1186.648674,151.5466692,248211,5120256
FLO,2.098491571,981.7559894,234.0745342,1127,196698
FNT,1.595554183,1058.847021,192.8892529,6478,431654
FSD,1.668523002,1109.542454,241.5201033,12390,156413
FSM,1.945350375,1133.378581,290.9202821,2269,289474
FWA,1.650174477,1062.597458,232.0321648,8024,368555
GEG,1.591217365,1195.946464,201.0390279,49985,390740
GFK,1.879486211,1247.811862,280.5729732,2647,102607
GJT,1.785927152,1111.14404,255.3060662,6040,96356
GNV,1.919790611,1111.728132,259.3874502,5922,244060
GPT,1.850127647,1058.644091,254.0040231,6659,256655
GRB,1.906914585,1104.628123,278.9913225,8605,247860
GRI,1.404425323,1111.743085,162.0700246,1627,63541
GRK,2.110238429,1158.627489,258.6628135,3565,354424
GRR,1.604678018,1095.358468,210.7174676,40701,699551
GSO,1.63854965,938.0597995,215.4473688,23746,548939
GSP,1.701276684,986.61568,219.5517925,28903,567887
GTF,1.764023211,1288.979798,247.9191253,4653,81065
GTR,2.004938272,1037.223045,295.1273663,1215,60574
GUM,1.828705681,4045.61384,707.2254079,2341,168801
HHH,1.914805195,924.1093506,212.9468649,3850,187010
HLN,1.902129121,1315.424794,283.3327473,2912,56381
HNL,1.283695471,2120.189655,247.7067986,162047,838032
HOU,1.214218597,963.0784094,175.1284631,109617,4445918
HPN,1.309503666,1023.153506,212.3456162,21276,34261384
HRL,1.67976633,973.6210834,205.1923181,7532,415557
HSV,1.767162434,1041.840034,291.5312639,15397,347907
HTS,1.300258565,775.8917259,124.6879186,3094,361580
HVN,2.045321637,1134.405702,231.844905,1368,796387
IAD,1.239803882,1453.709059,250.3876773,113401,9231820
IAG,1.011989509,939.203447,73.1788048,2669,1135509
IAH,1.178684784,1146.028129,212.3423114,212984,3888584
ICT,1.657584759,1085.909044,228.9638579,19526,595342
IDA,1.723951847,1093.154421,263.5913408,4818,94634
ILM,1.830420259,1042.954556,234.5769114,12873,304149
IND,1.412541545,1079.281832,208.0666663,101997,1355755
ISN,1.915943353,1254.233897,404.2681179,2189,19416
ISP,1.266057497,970.2899434,139.712885,18714,34261384
ITH,1.989195231,1388.581967,256.9105253,2684,94264
ITO,1.26624428,695.4691306,140.9444949,14205,176399
JAC,1.805657173,1426.934413,321.6008231,15308,18704
JAN,1.816891299,1035.538161,272.8294848,12539,455271
JAX,1.472213295,1023.587152,182.545388,77789,1077513
JFK,1.087176749,1685.000762,243.2913353,284686,34261384
JLN,1.793958172,1072.39969,258.2430054,1291,174300
JNU,1.618096995,1331.987957,258.0221525,9217,30717
KOA,1.352484619,1816.997705,213.3773374,42260,201513
KTN,1.597631907,1153.470503,259.3414894,4814,13150
LAN,1.945499587,1002.94027,254.0285467,3633,454600
LAS,1.158870295,1208.60222,159.4233175,469043,1838635
LAW,2.094627105,1156.592622,286.5284924,1247,110484
LAX,1.171395383,1585.47672,209.9991111,612957,22585772
LBB,1.641164577,873.8439951,211.5092099,12365,231127
LBE,1.020805188,714.9954066,62.23500946,3701,2635228
LCH,1.974079127,1115.076398,308.556985,1466,190401
LCK,1,711.9147392,66.9196644,4410,1696238
LEX,1.627559671,956.8773966,224.2137968,15334,378399
LFT,1.856716912,1106.254431,265.3998725,6037,243494
LGA,1.166344103,960.5324573,187.1080885,334301,34528632
LGB,1.110868207,795.1356741,128.9710139,44828,22585772
LIH,1.407560747,1958.994357,240.1667073,40578,72293
LIT,1.702418879,1039.335261,235.162166,25425,540243
LNK,1.776428783,1018.450992,277.4868937,3377,232143
LRD,1.673614401,1111.278067,277.6289626,2111,155747
LSE,2.057250471,1100.893032,273.6592957,2655,117153
LWS,1.956989247,1344.226703,304.8739158,1116,55942
LYH,2.082949309,1154.260829,273.7200691,2170,219836
MAF,1.566808616,832.1633031,278.0523236,16203,108737
MBS,2.07200562,1111.470671,322.0987636,2847,207774
MCI,1.352253898,1006.475033,193.5223642,129753,1657663
MCO,1.176036206,1123.736197,148.534867,427111,1464182
MDT,1.662754613,1149.585736,240.2180122,17723,499340
MDW,1.100550523,940.2985333,160.4935382,165479,16395048
MEM,1.52459269,992.9221585,223.9844679,51926,1090672
MFE,1.680468135,1270.555566,270.168989,10168,800000
MFR,1.644789325,1240.952861,210.8856197,13789,147300
MGM,1.930017227,1051.864126,298.4009216,4644,353327
MHK,1.863126844,1112.99233,279.8346313,1695,122049
MHT,1.640942438,1161.74746,213.903386,21264,393018
MIA,1.19953281,1243.11925,209.6515617,154541,10886318
MKE,1.417132032,1078.12667,197.5362211,80761,1444492
MLB,1.899096108,1112.644346,234.157078,5421,1464182
MLI,1.722870183,1092.295892,233.6355464,7888,379172
MLU,1.923134328,1122.357836,299.2440933,2680,165918
MOB,1.887128713,1122.912306,274.0353239,7070,402199
MOT,1.759484255,1273.187701,273.1496305,4033,66706
MQT,1.97909791,1138.937844,286.9789109,1818,65063
MRY,1.643632115,1315.786346,255.8731664,5991,431293
MSN,1.67377275,1093.390037,247.4016855,27582,443904
MSO,1.673055001,1312.211243,235.3512724,14036,80417
MSP,1.174757176,1067.457114,189.362691,274684,2581103
MSY,1.314600795,1031.035708,166.5533121,139828,1315616
MTJ,1.776529012,1220.155254,289.5838265,3826,27595
MVY,1.437003797,629.4508112,264.2279772,2897,17265
MYR,1.264702449,731.7345038,115.7752219,42833,218220
OAJ,2.040772014,1199.200241,255.4537177,4145,142917
OAK,1.144578993,1027.144261,152.9892334,141708,4317853
OGG,1.275660873,2069.27312,230.9231114,81067,101458
OKC,1.598301921,1062.567291,218.337885,49821,1207519
OMA,1.507196243,1066.29579,207.9424596,55793,694707
OME,1.428313796,1092.798016,282.2120379,1109,3850
ONT,1.429833837,1150.481299,190.8496434,66200,22585772
ORD,1.095149105,1023.194753,199.9123592,489621,16720340
ORF,1.665641467,1176.548277,226.2346017,48771,1728733
ORH,1.240768095,1129.067454,147.932772,2031,710463
PAE,1.222761253,1041.387625,150.3121878,12574,3979845
PBG,1.150485437,1237.906002,125.0185834,2266,81699
PBI,1.357864474,1137.998699,189.8564877,62261,4760522
PDX,1.309546099,1383.640388,195.57195,220048,1534762
PGD,1,935.7042772,81.76234481,14402,156952
PGV,2.057541412,1007.081953,232.3553967,1147,176589
PHF,1.969702744,1259.608041,263.2937443,5248,1728733
PHL,1.208620044,1233.145989,204.5265755,250834,10881988
PHX,1.200633772,1214.468494,194.7146023,301370,3600163
PIA,1.584814627,1117.604622,197.1094604,7876,361193
PIE,1,839.8650158,74.88589117,25966,3000000
PIH,2.127962085,1148.018167,318.4501185,1266,84692
PIT,1.397936879,1069.34847,201.908487,107507,2468674
PLN,2.096088435,1157.485544,441.7908759,1176,33415
PNS,1.714296253,1051.05208,215.4869585,27112,444840
PSC,1.759896301,1328.044172,226.8894027,10029,478000
PSE,1.080220212,1409.115611,175.6822414,2543,262414
PSM,1,1079.376786,76.22653571,1120,145052
PSP,1.69569656,1374.776268,242.1181742,12734,478000
PUW,1.706566916,1085.724855,214.6348213,1203,39004
PVD,1.484264509,1137.737274,195.1596895,49919,1501497
PVU,1,497.3804196,57.24023776,2860,405742
PWM,1.612949346,1161.310662,231.2307572,34272,465099
RAP,1.751301832,1206.059402,265.299784,10370,105976
RDD,1.985673352,1318.987822,262.6162536,1396,158520
RDM,1.676180794,1220.887238,218.7391633,12788,148670
RDU,1.315763675,973.7701621,172.0829668,157089,835602
RFD,1,1172.213313,88.94451927,2569,288599
RIC,1.57238996,1085.04153,220.5194709,49482,1024022
RNO,1.492632779,1163.521763,210.9909979,56127,402383
ROA,1.76727956,1079.456315,250.7254624,7451,288709
ROC,1.664160839,1134.476713,219.7459213,28600,1041595
ROW,1.799288256,1019.056228,280.4918719,1405,58843
RST,1.900361882,983.6402895,243.0741641,4145,146485
RSW,1.379442157,1201.811196,172.0646763,71418,739224
SAF,1.77968104,1130.548139,279.9424542,3386,143369
SAN,1.272834566,1332.990351,183.4454079,294860,3019274
SAT,1.515359465,1171.045293,200.5591893,108272,1433285
SAV,1.48523374,943.3407707,180.9625214,35317,293668
SBA,1.627441563,1358.470141,239.4671334,12492,376523
SBN,1.620357778,1071.391882,224.0483,9559,307304
SBP,1.779655455,1452.74192,269.1870336,6095,261706
SBY,2.1129683,1170.998271,254.6201326,1735,116040
SCC,1.109756098,705.5211382,363.0381301,1230,3000
SCE,1.97069317,1284.491081,264.5251376,3924,140606
SCK,1.024129747,436.5102848,70.3924644,2528,503293
SDF,1.501853256,980.1051723,217.2108375,47484,1522112
SEA,1.205114073,1489.925717,199.088321,433627,5154164
SFB,1,834.8959941,71.95113738,32777,2060968
SFO,1.194959724,1615.32551,228.906974,407438,7436126
SGF,1.6016091,1066.817242,229.5099639,14418,305304
SHV,1.789752194,1073.219282,268.427491,7748,356747
SIT,1.655860349,1245.015675,257.5548201,2807,8881
SJC,1.208806423,1087.828714,167.7698767,172624,1609027
SJT,2.000566572,1151.244193,289.3963003,1765,106395
SJU,1.303312212,1690.914681,204.9149707,91691,2617089
SLC,1.268110144,1158.03846,205.9505661,183723,1044845
SMF,1.319832843,1160.111064,179.8265149,152192,1741002
SNA,1.341129234,1129.061899,209.2397805,123783,12768395
SPI,1.76031861,1159.64084,254.8858146,1381,196177
SPS,2.084415584,1049.973098,296.0983488,1078,138487
SRQ,1.534075608,1082.238426,180.2652527,19310,702281
STL,1.287379456,976.2396397,200.4662125,138124,2603363
STS,1.254989213,847.6953883,191.431188,7416,466424
STT,1.641811158,1774.578205,265.236401,11131,51314
STX,1.92732127,1890.113319,343.2503322,3371,50601
SUN,1.728463806,1134.487062,316.1072355,3053,1427
SWF,1.401141459,1078.29148,183.2507909,4906,34528632
SYR,1.594784353,1193.317695,214.3868192,30907,661210
TLH,1.849489217,1059.478547,274.514462,8810,336783
TOL,1.530596437,910.7226956,170.3867196,2582,669292
TPA,1.279022383,1122.26492,168.1161232,205643,2730007
TRI,1.888762339,1086.205961,264.356101,5268,500538
TTN,1.009916095,759.3459615,68.6436876,11799,327174
TUL,1.621995609,1007.508464,215.1063658,34616,772997
TUS,1.648056164,1265.266809,224.0976846,36037,903320
TVC,1.836052985,1127.549146,280.7650902,10418,139881
TWF,2.129332206,1165.582418,321.2711919,1183,73110
TXK,2.027370479,1101.296188,271.542043,1023,150098
TYR,1.766313441,952.0719465,221.5126548,1793,159193
TYS,1.528268908,962.2401008,208.1787224,29750,699247
USA,1,559.7824871,54.73930508,4648,2797636
VLD,2.042047532,1070.830896,322.9774589,1094,133675
VPS,1.453042146,873.7151891,160.9632751,25459,235865
XNA,1.555614663,1035.398153,263.8047103,20678,455408
YKM,1.983527797,1286.927934,237.7916198,1457,193723
YUM,2.138875768,1443.878602,271.3718989,2117,114723
